vehicle_id,dealer_id,plate,year,month,max_date,monthly_score,total_penalties,total_km
21,VWDCM1,AA 7012 OD,2022,4,33:19.0,0,112.05,6438.6
107,VWCMC1,MJEC1JG43L5187997,2022,4,27:09.0,70,29.52,475
132,VLNPN1,DM 8637 EA,2022,4,29:15.0,83,16.89,2849.8
98,VWDCM1,H8042AE,2022,4,04:52.0,92,7.87,419.3
103,VKABP1,KB 676 XX,2022,4,21:51.0,0,100.91,61.2
22,VWDCM1,AA 7029 OD,2022,4,24:10.0,87,12.87,7332
153,VKAMP1,KB 8339 ME,2022,4,50:32.0,96,4.29,530
164,VGIPS1,W 8751 NX,2022,4,34:14.0,90,9.61,601.2
206,VKMPM1,DA 8077 HI,2022,4,36:59.0,95,5.4,6392.3
181,VWMPS1,MJEC1JG43L5187983,2022,4,45:01.0,100,0,0
203,VWCKM1,MJEC1JG43L5188067,2022,4,32:34.0,0,115.25,600.7
258,VLNPN1,DM 8849 AD,2022,4,21:59.0,86,13.65,2040.3
294,VWCKM1,L 8817 AG,2022,4,01:33.0,67,32.34,808
458,VLNPN1,DM 8790 AD,2022,4,40:19.0,0,112.88,498.8
630,VLPMA1,DN9976DU,2022,4,50:09.0,0,283.72,1186.9
637,VLPMA1,DN9983DU,2022,4,30:12.0,0,283.91,1106.2
661,VWMPS1,AD 8235 A,2022,4,59:14.0,0,101.1,1891.2
281,VSTIU1,BK 8642 EQ,2022,4,14:31.0,92,7.77,2158.6
356,VJBJI1,B 9099 SCI,2022,4,52:39.0,87,12.51,1162.7
331,VWCMC1,MJEC1JG43L5188061,2022,4,23:00.0,34,66.46,468.7
335,VGIPS1,AE 8947 BE,2022,4,06:35.0,92,7.67,316.5
797,VGIPS1,MJEFM8JN1LJE32995,2022,4,42:44.0,16,84,1618.4
511,VWCMC1,G-8827-VM,2022,4,41:14.0,80,20.04,2085.3
489,VWCKM1,L 9597 AK,2022,4,23:35.0,0,114.75,1393.4
124,VWMPS1,MJEC1JG43L5188002,2022,4,52:46.0,88,11.66,480.3
97,VGIPS1,MJEC1JG43L5187922,2022,4,01:49.0,0,117.2,1372.1
60,VWDCM1,MJERK8JSKLJN23016,2022,4,49:06.0,84,13.77,3245.9
81,VWDCM1,G 7023 OF,2022,4,27:42.0,93,2.64,3803.6
26,VWDCM1,AA 7032 OD,2022,4,07:01.0,91,9.13,6807.5
163,VGIPM1,MJEC1JG41L5187956,2022,4,12:30.0,83,17.2,566.8
115,VWDCM1,AD 7003 OY,2022,4,46:56.0,73,26.6,3880.1
204,VSPLR1,BE 8612 YX,2022,4,00:21.0,0,455.7,1623.4
234,VGIPS1,P 8619 EP,2022,4,40:56.0,79,21.07,777.4
267,VGIPJ1,MJEC1JGX1L5037242,2022,4,14:17.0,60,39.61,135.1
246,VKAAJ1,KT 8317 AE,2022,4,05:58.0,8,92.44,236.9
279,VSTIU1,BK 8645 EQ,2022,4,47:28.0,88,12.26,2535.8
292,VJDMI1,F 8680 VF,2022,4,13:12.0,63,36.51,1945
348,VKPPK1,KT 8187 OU,2022,4,07:29.0,81,19.47,1520.9
368,VKAMP1,KH 8013 TN,2022,4,57:29.0,52,47.78,2150.7
373,VLPMA1,MJEC1JG43L5188160,2022,4,57:14.0,0,126.62,870.1
428,VGIPA1,MJEFM8JK1LJE13459,2022,4,25:20.0,100,0,0
448,VGIPM1,BB 9901 FP,2022,4,25:46.0,78,21.56,140.3
439,VKAAJ1,MJEC1JG43L5188074,2022,4,22:33.0,88,11.89,769.7
460,VLPMA1,MJEC1JG43L5188209,2022,4,54:22.0,47,53.46,977.8
494,VJDMI1,E 8305 KV,2022,4,23:12.0,32,67.64,2471.4
497,VLNPN1,DM 8649 EA,2022,4,17:47.0,99,0.74,370.4
510,VKAMP1,KH 8455 LP,2022,4,40:01.0,0,159.68,596.5
549,VJHMM1,MJEC1JG43L5188248,2022,4,24:19.0,34,65.82,902.8
2,VWDCM1,AA 7024 OD,2022,4,42:12.0,89,10.8,6718
33,VWDCM1,AA7526OK,2022,4,34:14.0,97,0.92,3561.2
